Bali Countryside Sidemen,Country sides area & Tourist attraction,Karangasem,Rp.0,4.3,158,https://g.page/BaliCountrysideSidemen?share,https://lh5.googleusercontent.com/p/AF1QipP4RFGWCV1yqx_s6rquQfrch9QFS6khSJDvy2fE=w408-h270-k-no,085768888020,
Bali Swing,Country sides area &Theme park,Badung,Rp.0,4.5,6500,https://g.page/Realbaliswing?share,https://lh5.googleusercontent.com/p/AF1QipPjRRtl0ZVQhZjHYS7S16wbwCrTb_yh1CH95Ls4=w523-h240-k-no,087888288832,
Jatiluwih Rice Terrace,Country sides area &Tourist attraction,Tabanan,Rp.0,4.7,7100,https://g.page/jatiluwih-rice-terraces?share,https://lh5.googleusercontent.com/p/AF1QipNky84y3LNsdNRW5mzyIEDRWC8m0P7-thShDM-6=w408-h306-k-no,085692381416,
Tegallalang Rice Terrace,Country sides area & Tourist attraction,Gianyar,Rp.0,4.4,32000,https://g.page/tegallalang-rice-terrace?share,https://lh5.googleusercontent.com/p/AF1QipO3FWtD3zMyKA5JZC2xvxO2K1Z3VoiS3f2rZMMn=w408-h306-k-no,,
Aloha Ubud Swing,Country sides area & Theme park,Gianyar,Rp.0,4.6,2100,https://goo.gl/maps/GWjXsjApQcvAiT169,https://lh5.googleusercontent.com/p/AF1QipPORunjOjyyMGKDRUhq0ZmBxLprT2DemQr8_9eW=w426-h240-k-no,081999333462,
West Bali National Park,Country sides area & National park,Buleleng,Rp.0,4.5,2900,https://goo.gl/maps/rsbLwiZ7qDV2uKme9,https://lh5.googleusercontent.com/p/AF1QipMU8DAs_fqXS06Zg2uZsbNx275cs6spY2nRovH5=w408-h255-k-no,036561060,
Kajeng Rice Field,Country sides area & Hiking area,Gianyar,Rp.0,4.5,215,https://goo.gl/maps/eYkvkr4cqfhCgxjWA,https://lh5.googleusercontent.com/p/AF1QipOOiF_iPjpf73OwrQ5XnGZBSBgbWfUPli7zZVFM=w408-h544-k-no,,
Campuhan Ridge Walk,Country sides area & Hiking area,Gianyar,Rp.0,4.5,8000,https://goo.gl/maps/bNXVXyFw7hdW4vt19,https://lh5.googleusercontent.com/p/AF1QipNLNy_bQPFuEqd3C7Nde1TGPs6XYD5aGUFgjCK6=w408-h408-k-no,,
Waterblow,Country sides area & Tourist attraction,Badung,Rp.0,4.4,8500,https://goo.gl/maps/3o7c6ZKZku1uC5Tz5,https://lh5.googleusercontent.com/p/AF1QipPWS2sGMF-HtWaFO6xjrFprRh_qKOd9x5hpIo31=w408-h302-k-no,,
Desa Visesa Ubud,Country sides area & Resort hotel,Gianyar,Rp.0,4.6,1500,https://g.page/desavisesa?share,https://lh5.googleusercontent.com/p/AF1QipMgNE80MnM2LsJaAOakOIk9v060u4ojE2qCsE_z=w408-h272-k-no,03612091788,
Pura Tirta Empul,Country sides area & Hindu temple,Gianyar,Rp.0,4.6,15000,https://goo.gl/maps/mJtqFuYtK4G98LZT6,https://lh5.googleusercontent.com/p/AF1QipNfbLUspfUz29-Xe37T8sb2sEurfedPYIKirGe-=w408-h306-k-no,,
Komaneka at Bisma,Country sides area & Resort hotel,Gianyar,Rp.0,4.7,631,https://goo.gl/maps/djh6BPJC4ykugJGi6,https://lh5.googleusercontent.com/proxy/aTzvTXtEedUoyTpVQgB7D17_1AYZkg741S9-HBiyXkuHUSY5TdSjQnWq8QGzy8NY09tjLaGrmjKXkwmhKNHc-N2q69rEeKTZa4Z4z7qQR-oiun0u1m0POIYbv3lu3DXdfoz0U9oJ9s7ChbjQB7AxM4Vt6ZC_mA=w408-h271-k-no,0361971933,
Secret Beach,Country sides area & Resort hotel,Badung,Rp.0,4.3,639,https://goo.gl/maps/fGmcr3BFZix92q4H7,https://lh5.googleusercontent.com/p/AF1QipO9WtKdSby3pKLwpf_juf9YCffvGQi91WvVC7hr=w81-h81-n-k-no,,
The Ritz-Carlton Bali,Country sides area & Resort hotel,Badung,Rp.0,4.7,3000,https://g.page/ritzcarltonbali?share,https://lh6.googleusercontent.com/proxy/xHAGFKlpYn8cK3GNGav1TY9g-IyNeqGytuKyPUv1d1JN21oF80XnP99XdglRgSMlyMXZsSeoDkduU2HkHhzVxiGscC9h_LTrMmHMFLszKwfqGoXphyS-VUE3Uffdyrf90-59pUrovz4GwBcwgPboGAI0rTIdEQ=w408-h272-k-no,03618498988,


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































